ord,f,t,rel
1,2014-06-01T00:00:00Z,2016-03-10T00:00:00Z,Before joining CNCF
2,2016-03-10T00:00:00Z,2018-04-12T00:00:00Z,Since joining CNCF
1001,2014-06-01T00:00:00Z,2015-07-11T04:02:31Z,start - v1.0.0
1002,2015-07-11T04:02:31Z,2015-09-25T23:41:40Z,v1.0.0 - v1.1.0
1003,2015-09-25T23:41:40Z,2016-03-16T22:01:03Z,v1.1.0 - v1.2.0
1004,2016-03-16T22:01:03Z,2016-07-01T19:19:06Z,v1.2.0 - v1.3.0
1005,2016-07-01T19:19:06Z,2016-09-26T18:09:47Z,v1.3.0 - v1.4.0
1006,2016-09-26T18:09:47Z,2016-12-12T23:29:43Z,v1.4.0 - v1.5.0
1007,2016-12-12T23:29:43Z,2017-03-28T16:23:06Z,v1.5.0 - v1.6.0
1008,2017-03-28T16:23:06Z,2017-06-29T22:53:16Z,v1.6.0 - v1.7.0
1009,2017-06-29T22:53:16Z,2017-09-28T22:13:57Z,v1.7.0 - v1.8.0
1010,2017-09-28T22:13:57Z,2017-12-15T20:53:13Z,v1.8.0 - v1.9.0
1011,2017-12-15T20:53:13Z,2018-03-26T16:41:58Z,v1.9.0 - v1.10.0
1012,2018-03-26T16:41:58Z,2018-04-12T00:00:00Z,v1.10.0 - now
2001,2014-06-01T00:00:00Z,2014-07-01T00:00:00Z,2014-06-01
2002,2014-07-01T00:00:00Z,2014-08-01T00:00:00Z,2014-07-01
2003,2014-08-01T00:00:00Z,2014-09-01T00:00:00Z,2014-08-01
2004,2014-09-01T00:00:00Z,2014-10-01T00:00:00Z,2014-09-01
2005,2014-10-01T00:00:00Z,2014-11-01T00:00:00Z,2014-10-01
2006,2014-11-01T00:00:00Z,2014-12-01T00:00:00Z,2014-11-01
2007,2014-12-01T00:00:00Z,2015-01-01T00:00:00Z,2014-12-01
2008,2015-01-01T00:00:00Z,2015-02-01T00:00:00Z,2015-01-01
2009,2015-02-01T00:00:00Z,2015-03-01T00:00:00Z,2015-02-01
2010,2015-03-01T00:00:00Z,2015-04-01T00:00:00Z,2015-03-01
2011,2015-04-01T00:00:00Z,2015-05-01T00:00:00Z,2015-04-01
2012,2015-05-01T00:00:00Z,2015-06-01T00:00:00Z,2015-05-01
2013,2015-06-01T00:00:00Z,2015-07-01T00:00:00Z,2015-06-01
2014,2015-07-01T00:00:00Z,2015-08-01T00:00:00Z,2015-07-01
2015,2015-08-01T00:00:00Z,2015-09-01T00:00:00Z,2015-08-01
2016,2015-09-01T00:00:00Z,2015-10-01T00:00:00Z,2015-09-01
2017,2015-10-01T00:00:00Z,2015-11-01T00:00:00Z,2015-10-01
2018,2015-11-01T00:00:00Z,2015-12-01T00:00:00Z,2015-11-01
2019,2015-12-01T00:00:00Z,2016-01-01T00:00:00Z,2015-12-01
2020,2016-01-01T00:00:00Z,2016-02-01T00:00:00Z,2016-01-01
2021,2016-02-01T00:00:00Z,2016-03-01T00:00:00Z,2016-02-01
2022,2016-03-01T00:00:00Z,2016-04-01T00:00:00Z,2016-03-01
2023,2016-04-01T00:00:00Z,2016-05-01T00:00:00Z,2016-04-01
2024,2016-05-01T00:00:00Z,2016-06-01T00:00:00Z,2016-05-01
2025,2016-06-01T00:00:00Z,2016-07-01T00:00:00Z,2016-06-01
2026,2016-07-01T00:00:00Z,2016-08-01T00:00:00Z,2016-07-01
2027,2016-08-01T00:00:00Z,2016-09-01T00:00:00Z,2016-08-01
2028,2016-09-01T00:00:00Z,2016-10-01T00:00:00Z,2016-09-01
2029,2016-10-01T00:00:00Z,2016-11-01T00:00:00Z,2016-10-01
2030,2016-11-01T00:00:00Z,2016-12-01T00:00:00Z,2016-11-01
2031,2016-12-01T00:00:00Z,2017-01-01T00:00:00Z,2016-12-01
2032,2017-01-01T00:00:00Z,2017-02-01T00:00:00Z,2017-01-01
2033,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,2017-02-01
2034,2017-03-01T00:00:00Z,2017-04-01T00:00:00Z,2017-03-01
2035,2017-04-01T00:00:00Z,2017-05-01T00:00:00Z,2017-04-01
2036,2017-05-01T00:00:00Z,2017-06-01T00:00:00Z,2017-05-01
2037,2017-06-01T00:00:00Z,2017-07-01T00:00:00Z,2017-06-01
2038,2017-07-01T00:00:00Z,2017-08-01T00:00:00Z,2017-07-01
2039,2017-08-01T00:00:00Z,2017-09-01T00:00:00Z,2017-08-01
2040,2017-09-01T00:00:00Z,2017-10-01T00:00:00Z,2017-09-01
2041,2017-10-01T00:00:00Z,2017-11-01T00:00:00Z,2017-10-01
2042,2017-11-01T00:00:00Z,2017-12-01T00:00:00Z,2017-11-01
2043,2017-12-01T00:00:00Z,2018-01-01T00:00:00Z,2017-12-01
2044,2018-01-01T00:00:00Z,2018-02-01T00:00:00Z,2018-01-01
2045,2018-02-01T00:00:00Z,2018-03-01T00:00:00Z,2018-02-01
2046,2018-03-01T00:00:00Z,2018-04-01T00:00:00Z,2018-03-01
2047,2018-04-01T00:00:00Z,2018-05-01T00:00:00Z,2018-04-01
3001,2014-04-01T00:00:00Z,2014-07-01T00:00:00Z,Quarter from 2014-04
3004,2014-07-01T00:00:00Z,2014-10-01T00:00:00Z,Quarter from 2014-07
3007,2014-10-01T00:00:00Z,2015-01-01T00:00:00Z,Quarter from 2014-10
3010,2015-01-01T00:00:00Z,2015-04-01T00:00:00Z,Quarter from 2015-01
3013,2015-04-01T00:00:00Z,2015-07-01T00:00:00Z,Quarter from 2015-04
3016,2015-07-01T00:00:00Z,2015-10-01T00:00:00Z,Quarter from 2015-07
3019,2015-10-01T00:00:00Z,2016-01-01T00:00:00Z,Quarter from 2015-10
3022,2016-01-01T00:00:00Z,2016-04-01T00:00:00Z,Quarter from 2016-01
3025,2016-04-01T00:00:00Z,2016-07-01T00:00:00Z,Quarter from 2016-04
3028,2016-07-01T00:00:00Z,2016-10-01T00:00:00Z,Quarter from 2016-07
3031,2016-10-01T00:00:00Z,2017-01-01T00:00:00Z,Quarter from 2016-10
3034,2017-01-01T00:00:00Z,2017-04-01T00:00:00Z,Quarter from 2017-01
3037,2017-04-01T00:00:00Z,2017-07-01T00:00:00Z,Quarter from 2017-04
3040,2017-07-01T00:00:00Z,2017-10-01T00:00:00Z,Quarter from 2017-07
3043,2017-10-01T00:00:00Z,2018-01-01T00:00:00Z,Quarter from 2017-10
3046,2018-01-01T00:00:00Z,2018-04-01T00:00:00Z,Quarter from 2018-01
