Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
Before joining CNCF,2015-12-17,2017-03-29,40.4%,56.1%,64.5%,71.5%,80.3%,84.4%,87.1%,88.8%,90.0%,93.8%,98.4%,100.0%,100.0%,100.0%
Since joining CNCF,2017-03-29,2018-04-12,24.5%,38.9%,49.8%,70.4%,84.2%,87.7%,90.3%,92.2%,93.4%,96.0%,98.3%,100.0%,100.0%,100.0%
start - v0.0.5,2015-12-17,2016-02-12,58.7%,70.9%,79.4%,84.1%,92.1%,96.8%,99.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v0.0.5 - v0.1.0,2016-02-12,2016-03-21,70.2%,77.5%,83.4%,94.0%,98.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v0.1.0 - v0.2.0,2016-03-21,2016-04-14,54.0%,68.0%,75.3%,83.3%,92.0%,97.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v0.2.0 - v0.2.9,2016-04-14,2017-05-30,29.1%,44.0%,56.9%,71.0%,81.0%,84.8%,87.5%,89.5%,90.6%,93.8%,98.0%,100.0%,100.0%,100.0%
v0.2.9 - v1.0.0-alpha0,2017-05-30,2017-07-13,36.7%,50.9%,62.9%,80.7%,89.7%,93.9%,96.6%,98.2%,99.2%,100.0%,100.0%,100.0%,100.0%,100.0%
v1.0.0-alpha0 - v1.0.0-alpha6,2017-07-13,2017-08-23,24.6%,47.7%,61.2%,81.8%,91.2%,94.0%,95.9%,97.3%,98.2%,100.0%,100.0%,100.0%,100.0%,100.0%
v1.0.0-alpha6 - v1.0.0-beta.0,2017-08-23,2017-09-06,32.8%,53.1%,68.2%,83.9%,97.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v1.0.0-beta.0 - v1.0.0-beta.3,2017-09-06,2017-11-08,28.7%,43.7%,55.0%,70.2%,86.8%,90.9%,93.4%,95.4%,96.8%,99.7%,100.0%,100.0%,100.0%,100.0%
v1.0.0-beta.3 - v1.0.0,2017-11-08,2017-12-05,22.4%,43.4%,55.1%,76.4%,93.6%,97.1%,99.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v1.0.0 - v1.0.1,2017-12-05,2018-01-17,28.4%,44.4%,55.4%,70.7%,84.3%,89.4%,93.0%,95.3%,96.7%,100.0%,100.0%,100.0%,100.0%,100.0%
v1.0.1 - v1.0.2,2018-01-17,2018-02-13,28.9%,49.4%,62.2%,77.8%,91.7%,94.3%,96.3%,97.2%,98.2%,100.0%,100.0%,100.0%,100.0%,100.0%
v1.0.2 - v1.0.3,2018-02-13,2018-04-02,33.8%,45.1%,55.0%,71.8%,85.8%,90.2%,92.5%,94.0%,95.4%,98.5%,100.0%,100.0%,100.0%,100.0%
v1.0.3 - v1.1.0-rc.1,2018-04-02,2018-04-05,41.7%,56.2%,64.6%,79.2%,95.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v1.1.0.rc.1 - now,2018-04-05,2018-04-12,44.6%,58.5%,72.3%,90.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2015-12-17,2015-12-17,2016-01-17,46.7%,64.1%,68.5%,76.1%,89.1%,96.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2016-01-17,2016-01-17,2016-02-17,66.7%,94.3%,97.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2016-02-17,2016-02-17,2016-03-17,76.9%,84.6%,88.9%,95.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2016-03-17,2016-03-17,2016-04-17,53.8%,67.2%,75.3%,82.3%,89.8%,95.2%,98.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2016-04-17,2016-04-17,2016-05-17,49.5%,75.7%,78.5%,83.2%,91.6%,96.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2016-05-17,2016-05-17,2016-06-17,50.0%,78.6%,82.1%,86.9%,94.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2016-06-17,2016-06-17,2016-07-17,56.4%,72.7%,80.0%,87.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2016-07-17,2016-07-17,2016-08-17,30.8%,53.8%,76.9%,92.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2016-08-17,2016-08-17,2016-09-17,46.6%,72.4%,75.9%,82.8%,91.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2016-09-17,2016-09-17,2016-10-17,41.7%,80.6%,91.7%,97.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2016-10-17,2016-10-17,2016-11-17,39.6%,71.7%,81.1%,88.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2016-11-17,2016-11-17,2016-12-17,26.9%,52.7%,62.4%,74.2%,88.2%,93.5%,98.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2016-12-17,2016-12-17,2017-01-17,24.7%,43.3%,54.6%,71.1%,87.6%,94.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2017-01-17,2017-01-17,2017-02-17,30.0%,48.7%,64.8%,81.7%,91.2%,95.6%,97.8%,99.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2017-02-17,2017-02-17,2017-03-17,24.1%,46.8%,57.8%,75.9%,87.9%,94.3%,96.5%,98.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2017-03-17,2017-03-17,2017-04-17,21.7%,37.5%,51.3%,67.8%,85.8%,91.8%,95.5%,97.4%,99.3%,100.0%,100.0%,100.0%,100.0%,100.0%
2017-04-17,2017-04-17,2017-05-17,26.2%,41.5%,52.6%,68.8%,85.9%,91.8%,94.4%,95.9%,97.4%,100.0%,100.0%,100.0%,100.0%,100.0%
2017-05-17,2017-05-17,2017-06-17,31.0%,47.0%,59.9%,76.1%,87.9%,93.8%,97.2%,98.7%,99.8%,100.0%,100.0%,100.0%,100.0%,100.0%
2017-06-17,2017-06-17,2017-07-17,35.0%,49.6%,60.9%,79.2%,88.5%,92.7%,95.6%,97.4%,99.1%,100.0%,100.0%,100.0%,100.0%,100.0%
2017-07-17,2017-07-17,2017-08-17,25.6%,49.3%,63.4%,82.5%,91.8%,94.7%,96.6%,97.7%,98.7%,100.0%,100.0%,100.0%,100.0%,100.0%
2017-08-17,2017-08-17,2017-09-17,32.2%,49.9%,61.9%,82.5%,92.7%,95.5%,97.1%,98.2%,99.3%,100.0%,100.0%,100.0%,100.0%,100.0%
2017-09-17,2017-09-17,2017-10-17,25.6%,40.7%,53.1%,68.5%,86.8%,92.1%,95.5%,97.5%,98.9%,100.0%,100.0%,100.0%,100.0%,100.0%
2017-10-17,2017-10-17,2017-11-17,23.0%,39.3%,55.3%,73.1%,90.0%,94.3%,96.7%,98.2%,99.7%,100.0%,100.0%,100.0%,100.0%,100.0%
2017-11-17,2017-11-17,2017-12-17,27.6%,44.2%,58.0%,76.3%,91.8%,95.9%,98.5%,99.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2017-12-17,2017-12-17,2018-01-17,28.5%,42.2%,55.2%,70.4%,84.1%,89.6%,93.3%,95.2%,97.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2018-01-17,2018-01-17,2018-02-17,28.2%,48.0%,60.1%,75.3%,90.4%,93.3%,95.1%,96.3%,97.2%,100.0%,100.0%,100.0%,100.0%,100.0%
2018-02-17,2018-02-17,2018-03-17,31.2%,43.8%,54.1%,69.2%,85.3%,91.6%,94.2%,96.0%,97.2%,100.0%,100.0%,100.0%,100.0%,100.0%
2018-03-17,2018-03-17,2018-04-17,41.6%,55.0%,65.9%,80.2%,90.2%,93.6%,95.3%,96.6%,98.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 2015-10,2015-10-01,2016-01-01,38.2%,58.2%,65.5%,78.2%,94.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 2016-01,2016-01-01,2016-04-01,64.1%,73.0%,81.7%,88.0%,93.5%,96.1%,98.4%,99.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 2016-04,2016-04-01,2016-07-01,49.1%,71.7%,73.8%,77.4%,83.2%,87.5%,91.0%,94.6%,96.4%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 2016-07,2016-07-01,2016-10-01,38.3%,75.7%,80.0%,83.5%,91.3%,95.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 2016-10,2016-10-01,2017-01-01,28.1%,56.2%,62.2%,70.8%,80.0%,85.9%,90.8%,93.5%,96.2%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 2017-01,2017-01-01,2017-04-01,26.9%,46.9%,58.3%,73.5%,87.9%,91.7%,93.8%,95.4%,96.6%,99.3%,100.0%,100.0%,100.0%,100.0%
Quarter from 2017-04,2017-04-01,2017-07-01,30.7%,45.9%,57.1%,74.9%,85.7%,91.8%,95.1%,96.5%,97.5%,99.3%,100.0%,100.0%,100.0%,100.0%
Quarter from 2017-07,2017-07-01,2017-10-01,27.5%,44.4%,57.1%,80.0%,89.5%,92.4%,94.3%,95.7%,96.5%,98.8%,100.0%,100.0%,100.0%,100.0%
Quarter from 2017-10,2017-10-01,2018-01-01,26.0%,41.0%,55.7%,72.1%,87.9%,91.2%,93.7%,95.8%,97.0%,99.4%,100.0%,100.0%,100.0%,100.0%
Quarter from 2018-01,2018-01-01,2018-04-01,29.9%,46.8%,58.0%,74.3%,86.9%,90.4%,92.5%,93.9%,95.1%,97.6%,100.0%,100.0%,100.0%,100.0%
