release,date_from,top_commits_perc 1,top_commits_perc 2,top_commits_perc 3,top_commits_perc 5,top_commits_perc 10,top_commits_perc 15,top_commits_perc 20,top_commits_perc 25,top_commits_perc 30,top_commits_perc 50,top_commits_perc 100,top_commits_perc 200,top_commits_perc 500,top_commits_perc 1000
Quarter from 2014-01,2014-01-01T00:00:00Z,71.4285714285714286,94.2857142857142857,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
Quarter from 2014-04,2014-04-01T00:00:00Z,78.3333333333333333,98.3333333333333333,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
Quarter from 2014-07,2014-07-01T00:00:00Z,50.4950495049504950,76.2376237623762376,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
Quarter from 2014-10,2014-10-01T00:00:00Z,64.3410852713178295,90.6976744186046512,98.4496124031007752,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
Quarter from 2015-01,2015-01-01T00:00:00Z,48.7666034155597723,68.8804554079696395,88.3301707779886148,98.9563567362428843,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
Quarter from 2015-04,2015-04-01T00:00:00Z,38.5846672283066554,66.3016006739679865,75.4001684919966302,90.8171861836562763,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
Quarter from 2015-07,2015-07-01T00:00:00Z,35.3765323992994746,62.3467600700525394,73.4676007005253940,90.0175131348511384,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
Quarter from 2015-10,2015-10-01T00:00:00Z,39.8373983739837398,60.7046070460704607,73.8482384823848238,90.9214092140921409,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
Quarter from 2016-01,2016-01-01T00:00:00Z,26.7139479905437352,45.3900709219858156,63.5933806146572104,88.8888888888888889,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
Quarter from 2016-04,2016-04-01T00:00:00Z,25.1415628539071348,47.6783691959229898,57.7576443941109853,76.4439411098527746,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
Quarter from 2016-07,2016-07-01T00:00:00Z,24.0088105726872247,41.5198237885462555,57.4889867841409692,81.9383259911894273,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
Quarter from 2016-10,2016-10-01T00:00:00Z,26.6331658291457286,48.0737018425460637,65.9966499162479062,86.9346733668341709,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
Quarter from 2017-01,2017-01-01T00:00:00Z,21.8508997429305913,43.4447300771208226,57.3264781491002571,77.5064267352185090,98.2005141388174807,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
Quarter from 2017-04,2017-04-01T00:00:00Z,20.4797047970479705,39.3911439114391144,55.2583025830258303,68.7269372693726937,95.4797047970479705,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
Quarter from 2017-07,2017-07-01T00:00:00Z,23.9802224969097651,46.6007416563658838,66.8726823238566131,81.5822002472187886,95.3028430160692213,99.0111248454882571,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
Quarter from 2017-10,2017-10-01T00:00:00Z,23.7209302325581395,43.4883720930232558,58.1395348837209302,78.7209302325581395,95.9302325581395349,99.6511627906976744,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
Quarter from 2018-01,2018-01-01T00:00:00Z,29.9479166666666667,56.6406250000000000,66.2760416666666667,78.9062500000000000,93.0989583333333333,98.9583333333333333,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
Quarter from 2018-04,2018-04-01T00:00:00Z,28.2051282051282051,47.4358974358974359,57.6923076923076923,75.6410256410256410,97.4358974358974359,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
